"DJ","AirDate","Artist","Title"
"DF",2022-06-29,"Body/Dilloway/Head","BodyErase"
"DF",2019-01-27,"Redness","Backwards Forwards"
"DF",2017-01-29,"Annie Anxiety","Burnt Offerings"
"DF",2024-04-14,"Hand Of Food","I Went To Santas Village And Nobody Knew You"
"DF",2018-01-05,"Lowlife","Leaders"
"DF",2016-07-05,"Shredded Nerve","Closer To The End"
"DF",2025-02-17,"11,000 Switches","Philosophy Of Happiness"
"DF",2017-08-17,"Neutral","A B C"
"DF",2017-07-16,"Quittinirpaaq","Down By The River"
"DF",2019-05-03,"Terminal Cheesecake","Tiny Forehead"
"DF",2019-01-27,"Social Interiors","Calls Triggering"
"DF",2017-07-02,"Total","Nothing"
"DF",2017-07-16,"Obnox","Sexy Librarian"
"DF",2016-06-14,"Ekman","I Only Hit You Cause I Love You"
"DF",2016-08-29,"Cheater Slicks","Crackin Up"
"DF",2023-11-24,"Ecology:Homestones","Perfect Francis"
"DF",2016-01-10,"Chazev","Katatonia 2 B"
"DF",2025-11-28,"Sons of T","Treasures In Jars Of Clay"
"DF",2023-08-07,"Kitchen's Floor","Blood"
"DF",2021-05-21,"Wetware","Car Dancer Kismet"
"DF",2016-06-20,"A Bolha","Sem Nada"
"DF",2016-06-20,"Sternklang","Electrostatic Discharge Conductance"
"DF",2024-08-25,"Warum Joe","Bloody Mary"
"DF",2024-08-25,"Pep Lester + His Pals","Do It Yourself"
"DF",2015-12-30,"The Sunday Painters","For The Sake Of The Children"
"DF",2017-08-17,"Jackdaw With Crowbar","New Right Wing"
"DF",2023-08-07,"Cheater Slicks","Lichen"
"DF",2016-06-14,"Ono","The Model Bride"
"DF",2017-07-16,"Esplendor GeomÃ©trico","El Resto Atrs"
"DF",2016-05-30,"Nocturnal Emissions","Id50"
"DF",2015-12-30,"Sadistic Exploits","Anarchy For Freedom"
"DF",2022-06-29,"Paul Leary","Fine Home"
"DF",2019-01-27,"Avola","The Feels"
"DF",2024-04-14,"Yoke","Rubies"
"DF",2021-05-21,"Volcano The Bear","Ong Pat"
"DF",2017-04-17,"Wolf Eyes","Texas"
"DF",2023-08-07,"Band Apart","Marseille"
"DF",2017-07-23,"If All Else Fails...","Distinct"
"DF",2024-04-14,"The Act","Who Let The Flowers Fall"
"DF",2017-08-17,"No Balls","No Lungs"
"DF",2016-07-05,"Konstruktivits","Beirut"
"DF",2016-07-17,"Horforstaelese","Frlst Jvel"
"DF",2016-06-14,"Low Jack","Fabu Knight"
"DF",2017-07-02,"Jsca","Esem"
"DF",2017-07-23,"Hex Minora","Famous For What"
"DF",2022-06-29,"Urwelt","Pure Celestial Eyes"
"DF",2021-05-21,"Haus Arafna","Toter Mensch"
"DF",2022-06-29,"Patrik Fitzgerald Group","Animal Mentality"
"DF",2024-04-14,"Rikk Agnew","Section 8"
"DF",2018-01-05,"The Poems","Shoot To Kill"
"DF",2019-01-27,"Dame Area","Immagina Il Passato Ricorda Il Futuro"
"DF",2015-12-30,"Cured Pink","Treated Unwell"
"DF",2017-01-29,"Consolidated Plastics","State Never Lies"
"DF",2023-11-24,"Tracy + The Plastics","Quaasars"
"DF",2016-11-22,"The Lyme","Measles"
"DF",2015-12-30,"Map 71","Wrong Element"
"DF",2021-05-21,"Amnesia Scanner & Bill Kouligas","Lexachast Vi"
"DF",2017-07-16,"Vacio Perfecto | Pharmakustik","Meccanismorte 6"
"DF",2015-12-30,"Tötenköpf","Flutter Fribulation Ou Les Spadassins De La Guerre"
"DF",2017-01-29,"Prolapse","Every Night Im Mentally Crucified"
"DF",2017-01-29,"Fru Aut","Kabul"
"DF",2015-12-30,"Hawkwind","The Watcher"
"DF",2025-11-28,"Dominion","They Came In Hordes"
"DF",2025-11-28,"Torn Hawk","Plainsong"
"DF",2023-08-07,"E-Saggila","Dripper"
"DF",2023-08-07,"S. English","Citizen"
"DF",2016-08-26,"Jade Arden","Sleepwalking"
"DF",2015-12-30,"Hawkwind","Silver Machine"
"DF",2018-01-05,"Superkid","Trouble Maker"
"DF",2023-01-02,"Calypso Machine Gun","Psychic Turmoil"
"DF",2023-11-24,"Eight Living Legs","Dont Do That Near Me"
"DF",2023-01-02,"Crispy Newspaper","Charlie Hebdo"
"DF",2017-03-26,"The Hot Nasties","Invasion Of The Tribbles"
"DF",2017-01-29,"Hex Minora","Virgo Intacta"
"DF",2016-08-29,"The Wilful Boys","621"
"DF",2018-05-27,"C.I.A. Debutante","FortyEight Dollars A Night Neon"
"DF",2016-01-10,"Black Pink Purple","Anorexic"
"DF",2020-01-06,"The Skodas","Everybody Thinks Everybody Else Is Dead Bad"
"DF",2015-12-30,"Black Mecha","Black Ray"
"DF",2023-01-02,"Dredd Foole & The Din","No Gun"
"DF",2017-07-23,"Sigillum S","Alone"
"DF",2023-08-07,"Hands Up Who Wants To Die","Clothbound"
"DF",2017-04-17,"Kill Your Sons","Obsession"
"DF",2016-06-14,"Suisse","Knicker Two"
"DF",2018-05-27,"Shoes For The Industry","Fear of Wages"
"DF",2016-01-10,"Genocide Organ","Search A Place To Die"
"DF",2016-11-22,"Ad","Faltering Steps"
"DF",2015-12-30,"Zounds","Cant Cheat Karma"
"DF",2015-12-30,"Motörhead","Doctor Rock"
"DF",2017-07-23,"The Intended","Nobody Move"
"DF",2017-08-17,"Javier Hernando","Diorama"
"DF",2021-05-21,"Little Annie & Fabrizio Palumbo","Chinatown Blues"
"DF",2019-01-27,"Nachdenkliche Wehrpflichtige","You Say You Dont Love Me"
"DF",2023-11-24,"Lmnop","Forever Through The Sun"
"DF",2015-12-30,"Pr5","Going Back"
"DF",2023-01-02,"V-3","Cast A Stone"
"DF",2017-08-17,"The Paradox","A New Rain"
"DF",2016-06-20,"Slushy Guts","Thoughts Hurts"
"DF",2016-09-11,"Booze","5 Minute Break"
"DF",2024-04-14,"Gub","Gub 1"
"DF",2016-07-05,"B-Ball Joints","Joint 3"
"DF",2022-09-25,"G.o.i.n.g.","Ground Scorn"
"DF",2024-04-14,"Nina Harker","Le Pont Voiles"
"DF",2016-06-20,"Gentleworms","Crow Jane"
"DF",2016-01-10,"Amor Fati","The Law"
"DF",2016-11-22,"Mazozma's Fatufairfe","Cubbie Faint Sadness"
"DF",2019-05-03,"Bocksholm","Steinbock And His Disciples"
"DF",2016-09-11,"Fredrik Nilsen","Insecticide"
"DF",2017-07-02,"Balans","Okolje"
"DF",2017-03-26,"Desaccord Majeur","Une Autre Raction"
"DF",2016-11-22,"Housewives","Almost Anything"
"DF",2018-05-27,"Nocturnal Emissions","Never Give Up"
"DF",2016-07-05,"Eligio's Hallucinogenetic Plans","Double"
"DF",2015-12-30,"Ed Sirrs","I Think I Think Too Much"
"DF",2016-11-22,"Selfish Cunt","Britain Is Shit"
"DF",2016-09-11,"Rene Hell","Quiet Detail Muse"
"DF",2023-08-07,"Cheater Slicks","Reaching Through"
"DF",2023-11-24,"Objekt","Bad Apples"
"DF",2023-01-02,"Juiceboxxx","In The Basement"
"DF",2023-11-24,"Know Authority","Work Of Children"
"DF",2017-08-17,"Bad Breeding","Endless Impossibility"
"DF",2016-06-14,"Paul Shorthouse","Empty"
"DF",2016-07-05,"M Ax Noi Mach","Material Obsession"
"DF",2022-06-29,"Snooks","Signals Warnings"
"DF",2016-09-11,"Shit & Shine","Jackson Warrior"
"DF",2024-08-25,"Shellac","I Dont Fear Hell"
"DF",2018-05-27,"Yoko Ono","Greenfield Morning I Pushed An Empty Baby Carriage All Over The City"
"DF",2015-12-30,"Mai Mai Mai","Petra"
"DF",2019-01-27,"Ophüls","Wolves"
"DF",2016-01-10,"Cherubs","Party Ice"
"DF",2017-07-16,"Strotter Inst.","BEEEENQU snijdende tests"
"DF",2017-07-23,"Driftmachine","Rungler Statik"
"DF",2023-08-07,"Mag-Amplitude","The Meaning Of It All"
"DF",2019-09-16,"Birchville Cat Motel","Stellar Collapse"
"DF",2018-01-05,"The Recognitions","This First Dance"
"DF",2016-09-11,"We Be Echo","You Are Everything"
"DF",2019-05-03,"Die Form & Dz Lectric","Untitled 3"
"DF",2017-07-16,"Big Bertha","Munich City"
"DF",2022-06-29,"Rider/Horse","Chime Inn"
"DF",2018-05-27,"Patois Counselors","Target Not A Comrade"
"DF",2019-01-27,"The August Sons","You Taste So Good To Me"
"DF",2017-07-02,"David Nance","Sprained Ankle"
"DF",2015-12-30,"Tony Whitaker","Evening Post"
"DF",2016-11-22,"No Fun","I Wanna Be God"
"DF",2018-05-27,"Diagram Brothers","Seals Furcoats"
"DF",2019-05-03,"Aussenminister","City Wolf"
"DF",2018-01-05,"Exit Hippies","Fluffy Cloud 3"
"DF",2025-02-17,"Kou","La Tempesta"
"DF",2016-07-17,"Running","No Wave Jose"
"DF",2016-06-20,"Der Musikant","Reiss Dich Zusammen"
"DF",2019-01-27,"Claus Böhmler","Falckenstein"
"DF",2016-06-20,"Dennis Oppenheim","Theme For A Major Hit"
"DF",2016-06-20,"Skin Graft","Blood Gutter"
"DF",2017-07-02,"Basement 5","Last White Christmas"
"DF",2024-04-14,"Annie Achron","A Disintegration"
"DF",2023-11-24,"Torn Hawk","Movie Ends Im Not Embarrassed"
"DF",2016-06-20,"The Wise Men","Knowledge"
"DF",2015-12-30,"Motorhead","Sex Death"
"DF",2022-06-29,"Neon Barbs","Adjust To Red"
"DF",2024-08-25,"Roy Montgomery","Just Melancholy"
"DF",2016-07-17,"The Dogs","Rot N Roll"
"DF",2021-05-21,"Lavender Hex","Comfortable"
"DF",2016-07-05,"Kraaijeveld","Hound Is On The Run"
"DF",2024-08-25,"S*Glass","Rise Of The American Asshole"
"DF",2017-08-17,"Los Texao","Stone"
"DF",2021-05-21,"Xylitol","Crazy Frog"
"DF",2016-06-14,"David Nance Band","All I Want To Know Is When Youre Coming Home"
"DF",2019-05-03,"Kilynn Lunsford","Terminator Baby"
"DF",2017-07-02,"S-Haters","The Deepest Of Reds"
"DF",2018-01-05,"Glands Of External Secretion","Backlit Colander With Holes Shaped Like Numbers"
"DF",2016-05-30,"Esplendor Geométrico","Amor En Mathaussen"
"DF",2023-01-02,"Splintered","Mouth Clamp"
"DF",2022-09-25,"Fnu Clone Inc.","Ghost Baby Ghost"
"DF",2017-07-23,"Collectionism","We Are All Children Of God"
"DF",2016-08-29,"Ode Virale","Bildung IiiI"
"DF",2018-05-27,"Andi Arroganti","Rosa Dreieck"
"DF",2016-07-17,"Tackle","Benzedrine"
"DF",2020-01-06,"The Lowest Note On The Organ","Thusly Routed We Gambol"
"DF",2022-09-25,"The Crucifucks","Lights Over Baghdad"
"DF",2016-08-29,"The Wipers","My Vengeance"
"DF",2016-01-10,"The Girls","Never Did Believe In"
"DF",2016-07-17,"Manic Jabs","Autophagous"
"DF",2016-06-14,"David Kenneth Nance","Sad Song"
"DF",2025-11-28,"Haus Arafna","Auserwhlt"
"DF",2025-11-28,"Guests","Arrangements As In Making Them"
"DF",2023-08-07,"Sybil","I Am Tv"
"DF",2016-08-29,"Das Ding","Sad But True"
"DF",2016-06-14,"David Kenneth Nance","Leather In A Box"
"DF",2023-01-02,"Veiled","Tour De Nit"
"DF",2016-11-22,"33.10.3402","100 Drone Radio Passive Scape"
"DF",2017-08-17,"Nerve","Sharpshooter"
"DF",2017-01-29,"Chris Haas &Beate Bartel","Metal"
"DF",2025-02-17,"Winston","Waiting Room"
"DF",2016-08-29,"Evil Moisture / Panicsville","Raviole For Patronn"
"DF",2016-09-11,"Solaris","Alien Intrusion"
"DF",2017-07-02,"Sleaford Mods","Carlton Touts"
"DF",2016-11-22,"Flores Feias","Feitico"
"DF",2019-05-03,"A.m.","Vilcabamba Phantasy"
"DF",2016-07-17,"Running","Ghost Bag"
"DF",2023-08-07,"Little Bears From Bangkok","Dog Pack 202"
"DF",2017-07-02,"Midnight Mines","Accattone"
"DF",2017-07-23,"Joe Colley","No Way In"
"DF",2024-08-25,"Collate","Numbers"
"DF",2016-07-17,"Sympathy Nervous","No More Expo"
"DF",2018-01-05,"Glen Schenau","Im Smitten"
"DF",2016-05-30,"The Sickness","Die"
"DF",2016-07-05,"The Rivals","Future Rights"
"DF",2024-04-14,"Scram Ju Ju","Big Beyond"
"DF",2017-01-29,"Consolidated Plastics","Garden Variety"
"DF",2017-07-16,"Bogshed","Packed Lunch To School"
"DF",2025-02-17,"Alter Of Flies","Nervous Loops 100511"
"DF",2017-07-02,"Altered Images","Dead Pop Stars"
"DF",2016-05-30,"Sat Stoicizmo","Avionom"
"DF",2021-05-21,"Black Girls Machine","Asking"
"DF",2016-06-20,"Shetahr","Beans"
"DF",2017-07-16,"Beta Boys","High On Drugs"
"DF",2016-09-11,"Kastel","39"
"DF",2023-01-02,"Richard Papiercuts","Judgement"
"DF",2021-05-21,"Lamps","Insects"
"DF",2016-06-14,"Twinkeyz","1000 Reasons"
"DF",2015-12-30,"Pink, Plastic & Panties","Protection"
"DF",2022-09-25,"B|_Ank","Kruatte"
"DF",2016-07-05,"Neutral","Musik Brut"
"DF",2019-09-16,"Bobby Would","Baby"
"DF",2016-08-29,"El Amor","On The Midnight Bus"
"DF",2016-11-22,"Coalition Broadcasting Corporation","Fish"
"DF",2025-11-28,"Negativland","Mounting The Puppy"
"DF",2019-01-27,"Heavy Metal","Gasmask Factory Ii"
"DF",2020-01-06,"Fatal Impact","Humanity Decadance"
"DF",2025-11-28,"Geoffrey Landers with Cason","Sand Bars Alone"
"DF",2016-06-20,"The Trendees","Delinquent Telephone"
"DF",2023-08-07,"France","Occitania"
"DF",2019-05-03,"Russe","Bau"
"DF",2018-05-27,"XX Committee","NP Ward 3"
"DF",2023-01-02,"Multicult","Extra Spherical View"
"DF",2025-11-28,"Muslimgauze","Gulf Between Us"
"DF",2017-03-26,"No Ufos","Pcm Track Ii"
"DF",2015-12-30,"Motörhead","White Line Fever"
"DF",2017-07-23,"Bourbonese Qualk","Badlands"
"DF",2017-08-17,"Colour BÃ¼k","Yellow Stains"
"DF",2016-06-20,"Cheater Slicks","Refried Dreams"
"DF",2016-06-20,"Un","Alamo Square"
"DF",2016-07-05,"Big Wheel","Upside Down"
"DF",2019-01-27,"Plexigladz","Pretty Depressive Lech Ma Tonight"
"DF",2021-05-21,"Cured Pink","The New Public"
"DF",2021-05-21,"The Glass Path","Constanera"
"DF",2016-08-26,"R.n.a. Organism","Howareyou Whyou"
"DF",2025-02-17,"Tim Goss","Fly V"
"DF",2022-06-29,"The Wealthy Texans","Best Holiday"
"DF",2018-05-27,"Bend Sinister","YeahYeahYeah"
"DF",2017-07-23,"M.E.S.H.","Methy ImbiB"
"DF",2015-12-30,"Ono","Mala Veau"
"DF",2016-11-22,"Das Torpedos","Act Vi"
"DF",2025-02-17,"3phaz","Babababababawar"
"DF",2025-11-28,"Raime","Hold Your Line"
"DF",2023-01-02,"Electric Guitars","Dumb Words"
"DF",2019-05-03,"Horse Dwarves","Self Titled 2"
"DF",2019-01-27,"Negative Space","Forbidden Fruit"
"DF",2016-09-11,"Hula","Feed The Animal"
"DF",2017-01-29,"Consolidated Plastics","Ballad Of The Ghost Of Crouton John"
"DF",2019-05-03,"Chop Shop","Scraps"
"DF",2018-05-27,"Leda","Gitarrmusik III"
"DF",2023-08-07,"Sewer Election","Nra"
"DF",2022-09-25,"Maska Genetik","Ocean"
"DF",2023-11-24,"V;","1926"
"DF",2022-09-25,"Techno Animal","Megaton"
"DF",2016-01-10,"Dreamcrusher","Adore"
"DF",2016-08-26,"Stenka Bazin","Bel Canto"
"DF",2017-07-02,"Red Dark Sweet","Mrs Hanson"
"DF",2016-08-26,"Fadensonnen","Slit Walker"
"DF",2024-04-14,"The Ballistics","Chinese Jungle"
"DF",2024-08-25,"Natural Man Band","The Hammer"
"DF",2017-07-23,"Cube","Greased Air"
"DF",2025-02-17,"Cruelster","Terminal Windmill"
"DF",2025-11-28,"Paula Frazer","Is She Lonesome Now"
"DF",2017-03-26,"Dogs","19"
"DF",2016-06-20,"Saralee","Jealousy"
"DF",2019-05-03,"Egoslavia","Twist Face"
"DF",2016-06-14,"Big Balls &The Great White Idiot","Kick Her In The Dirt"
"DF",2015-12-30,"Vincent Over The Sink","I Found A Genie"
"DF",2025-11-28,"KAO4S","80 MPH"
"DF",2024-04-14,"Stephen Mallinder","Temperature Drop"
"DF",2025-11-28,"Brokenchord","Future Simple"
"DF",2018-05-27,"The Poles","Over and Beyond and Through"
"DF",2015-12-30,"High Bias","Killing Of Cats"
"DF",2016-06-20,"S.p.k.","A Heart That Breaks"
"DF",2016-06-14,"Cameras In Cars","The Author"
"DF",2023-11-24,"Mz. 412","Deklaration Of Holy War"
"DF",2018-01-05,"Pacific 231 & Dernier Du Cuite","Untitled 3"
"DF",2019-01-27,"Monokultur","ckel"
"DF",2016-05-30,"Youth Hostel","Leper Colony Reprise"
"DF",2020-01-06,"Stilluppsteypa","Miss Gloria"
"DF",2019-09-16,"Nordic Analysts","TooHeat"
"DF",2017-08-17,"Nothing Band","mrr"
"DF",2023-11-24,"Defenestration","Kill Kennedy Again"
"DF",2017-03-26,"Mark Dagley","Trrega Overdrive"
"DF",2016-06-14,"Mother Sunday","Midnight Graveyard"
"DF",2016-09-11,"Digital Dinosaurs","Army Green"
"DF",2019-05-03,"Brume","Block 4 E Dol"
"DF",2017-03-26,"Heavy Metal","Dingo Ate Your Baby"
"DF",2016-07-05,"Zoviet France","Mohnomishe C2"
"DF",2016-08-26,"The Pheromoans","Rock Pop Quarrel"
"DF",2016-06-14,"Randell","Kettingzaag"
"DF",2018-01-05,"The Apostles","Heavy Metal"
"DF",2022-06-29,"Perverts In White Shirts","Us Vs Us"
"DF",2021-05-21,"Memluks","Slope Intercept"
"DF",2016-07-05,"The Jesus Lizard","Skull Of A German"
"DF",2019-01-27,"Schiach","Ja Mei"
"DF",2024-08-25,"Crispy Newspaper","Future"
"DF",2016-08-26,"Mark Leckey","Dream English Kid 1964 1999Ad Part 2"
"DF",2017-03-26,"Simon Joyner & David Nance","100 Years Ago"
"DF",2022-06-29,"Man Sized Action","Pressure Relief"
"DF",2023-01-02,"Los Llamarada","Me And You And The Land"
"DF",2016-07-17,"Ad","Conspiracy"
"DF",2016-07-17,"Spacin'","Titchy"
"DF",2017-08-17,"USA/Mexico","Yard Of The Month"
"DF",2025-11-28,"Yautja","Path of Descent Denihilist"
"DF",2017-07-23,"B.D.","China Doll"
"DF",2017-08-17,"Rubber Mate","Cha Boi"
"DF",2022-06-29,"Cherubs","Little Barely Pieces"
"DF",2016-06-14,"Ectoplasm Girls","Before It Gets Too Late To Begin"
"DF",2024-04-14,"Stitch","Lies"
"DF",2016-06-14,"Deutschland Jerky Rave","Our Story"
"DF",2019-01-27,"The Mud Hutters","Page 41"
"DF",2018-01-05,"No Balls","Pacer"
"DF",2018-01-05,"Pete Swanson","Pro Style"
"DF",2021-05-21,"Ideas Beyond Filth","Norkabal"
"DF",2016-07-05,"Sick Dick & The Volkswagens","Flame Flows Down"
"DF",2017-01-29,"Multicult","Repeating Decimal Point Of Trauma"
"DF",2016-11-22,"Aventuras De Kirlian","Una Historia"
"DF",2019-05-03,"An Alarm","Bandwagon Song"
"DF",2025-02-17,"Pissed Jeans","Waves Of Fear"
"DF",2017-01-29,"Consolidated Plastics","Complain Today"
"DF",2015-11-29,"Geoff Leigh","Psychotropic Ganglions"
"DF",2018-05-27,"Chrome","AntiFade"
"DF",2018-01-05,"Missing Foundation","When Right Was Wrong"
"DF",2016-09-11,"Legendary Pink Dots","Apocalypse Soon"
"DF",2022-09-25,"God Is War","Plucking The Sun Out Of The Sky"
"DF",2021-05-21,"David Nance","Smart Patrol Mr Dna"
"DF",2022-09-25,"The Hamsters","Ole Spain"
"DF",2017-01-29,"Redemption Inc.","Le Souffle Coupe"
"DF",2019-09-16,"The Cool Greenhouse","Cardboard Man"
"DF",2016-11-22,"Quilt Boy","Love Letter To You"
"DF",2017-04-17,"Exploiting The Prophets","Davy Jones"
"DF",2016-07-05,"Bande Berne Crematoire","Jeddah"
"DF",2015-12-30,"Hunting Lodge","Sounds Like A Picture"
"DF",2016-07-05,"The Third Power","Gettin Together"
"DF",2020-01-06,"Strotter Inst. / Peter Vukmirovic Stevens","Les Articles De Fond Ne Remontent Jamais A La Surface"
"DF",2016-09-11,"N.r. Hills","The Boat Of Nailes"
"DF",2018-05-27,"Mammal","Death Ride Dream Sequence"
"DF",2016-11-22,"The Dance Asthmatics","Wicker"
"DF",2023-11-24,"The Honeymoon Killers","Ariane A Deep Space Romance"
"DF",2024-08-25,"Silvia Kastel","Spiderwebs"
"DF",2022-09-25,"Pedestrian Deposit","Arcadia"
"DF",2023-08-07,"Rock Feller","I See You"
"DF",2017-07-02,"B.c.o.","Fred Lematre"
"DF",2025-11-28,"Proof Of Utah","Bettys Pleasure"
"DF",2016-07-05,"Jason Crumer","Blood And Tahoe"
"DF",2023-11-24,"Jung Analysts","Jackie Charlton Said"
"DF",2016-11-22,"Rotterdans","Interference"
"DF",2017-07-16,"Philip Johnson","Ive Been"
"DF",2019-01-27,"Duchamp","Energy"
"DF",2017-01-29,"The Tapes","Industrial Party"
"DF",2022-09-25,"Oma","ExRaver"
"DF",2016-09-11,"Brume","Dead Green 12"
"DF",2016-01-10,"The Vacant Lot","Shes Really Dead"
"DF",2025-02-17,"The Lavender Flu","Side A"
"DF",2017-03-26,"Test Dept.","State Of Affairs"
"DF",2022-09-25,"David Nance","Waiting For The Last Call"
"DF",2016-08-26,"Blues Section","Hey Hey Hey"
"DF",2016-06-14,"David Nance Band","When I Saw You Last Night"
"DF",2019-01-27,"Crack Cloud","Philosophers Calling"
"DF",2019-01-27,"Spf","Beachcomber"
"DF",2016-07-05,"Lustmord","Untitled 2"
"DF",2019-05-03,"Alternative Tv","Radiator"
"DF",2021-05-21,"Perverts In White Shirts","Elanky"
"DF",2016-07-05,"Atomic Disease","The Real Sword"
"DF",2016-01-10,"5Ive Ximes Of Dust","Computer Garden"
"DF",2023-01-02,"Computer","Impending Doom"
"DF",2018-05-27,"Map 71","Cruise Night"
"DF",2017-07-16,"Access","Miss Constructed"
"DF",2019-05-03,"Storm Bugs","Make Customers Matter"
"DF",2017-07-16,"No Fun","Train Times"
"DF",2021-05-21,"Rock Boycott","Life Like"
"DF",2020-01-06,"Matt Johnson","Another Boy Drowning"
"DF",2022-06-29,"Tank Of Danzig","Brainwar"
"DF",2025-02-17,"Jim Shepard","Treenas Strobe Light Party"
"DF",2019-09-16,"The New Me","Les Dix Doigts"
"DF",2017-07-02,"Rhythmus Radikal","Jennifer"
"DF",2016-08-26,"Floating Di Morel","It Has Gone Well"
"DF",2021-05-21,"Lavender Flu","Barbarian Dust"
"DF",2017-07-16,"StrangerStill","Art Opening"
"DF",2017-08-17,"Pax","Pig Pen Boogie"
"DF",2017-03-26,"33.10.3402","Mecanica No 1"
"DF",2017-04-17,"Powell","Smut"
"DF",2022-06-29,"Surface Mutants","Train Dub"
"DF",2019-01-27,"Roter Stern Belgrad","Abend Stern Chant"
"DF",2025-02-17,"Heresie","Under Bridges Of Silence"
"DF",2023-01-02,"Die Verlierer","Nichts Funktioniert"
"DF",2017-07-23,"Mattin","Die Kloake der Gesellschaft"
"DF",2017-01-29,"Leif Elggren","Dasb8"
"DF",2025-11-28,"Kevin Drumm","Relief"
"DF",2017-01-29,"Mystery Plane","Graveyard In The Sky"
"DF",2018-01-05,"Pat Ruthensmear","XMas Song"
"DF",2017-01-29,"Submissions","Okht"
"DF",2017-03-26,"Bob Bucko Jr.","Ne End"
"DF",2023-08-07,"Violin Sect","Highdays Holidays"
"DF",2016-11-22,"Hogg","Solar Phallic Lion"
"DF",2022-09-25,"Slack","Side B"
"DF",2016-08-29,"Golden Path","Pulse"
"DF",2016-08-29,"Pbk & Wolf Eyes","Contaminated Strain"
"DF",2025-11-28,"The Lavender Flu","Thats Alright"
"DF",2016-07-05,"El Aviador Dro Y Sus Obreros Especializados","Anarqua En El Planeta"
"DF",2017-07-23,"Prod","Knife On Top"
"DF",2019-05-03,"Island","Super Woman"
"DF",2017-08-17,"Boo-Hooray","This Bag Of Bones"
"DF",2025-11-28,"Wir","Take It For Greedy"
"DF",2023-11-24,"Fantastic Palce","Crisscrossing Chrysanthemums"
"DF",2016-08-29,"Bgm","And"
"DF",2017-03-26,"Pissed Jeans","Im A Man"
"DF",2016-01-10,"Chinese Religion","Eden"
"DF",2018-05-27,"Anne-James Chaton & Andy Moor","Tout Ce Que Je Sais"
"DF",2017-01-29,"Angel","Exodus"
"DF",2017-08-17,"African Head Charge","Far Away Chant"
"DF",2023-11-24,"Doc Corbin Dart","Here For You Now"
"DF",2018-01-05,"Les Hopitaux","Tour De Cou"
"DF",2018-05-27,"Hide & Seek","Crying Child"
"DF",2017-07-16,"Yally","UEffO"
"DF",2017-07-02,"Niebiesko Czarny","Purple Hazy"
"DF",2019-05-03,"Mu","Metal To Metal"
"DF",2016-07-05,"The Fall","Slang King"
"DF",2019-05-03,"Eddie & The Subtitles","Zombie Drug Killers"
"DF",2016-07-17,"Running","Oooooo Oooooooo"
"DF",2016-09-11,"Your Heterosexual Violence","A Song From The Bottom Of The Heart"
"DF",2017-07-02,"Features","Victim"
"DF",2025-02-17,"Pedestrian Deposit","A Cold Harvest"
"DF",2020-01-06,"Dry-Rot","Can A Game Kill Time"
"DF",2017-07-16,"FNU Clone Inc.","I Hate ManShake The Hand"
"DF",2018-01-05,"The Sane","Arnold Palmer"
"DF",2017-01-29,"Angela Sawyer","Millicent Bell"
"DF",2015-12-30,"Motörhead","Damage Case"
"DF",2022-09-25,"The Cowboy","Galaxy Jam"
"DF",2023-11-24,"Dormannu","Powdered Lover"
"DF",2017-08-17,"Men/Eject","Draw"
"DF",2017-07-23,"Mark","Our Home And Heart Is In Berlin As We Believe In The Potentials Of The Local Creative Scene"
"DF",2022-06-29,"Mx-80 Sound","15 Laffs"
"DF",2022-06-29,"Terminal Cheesecake","Track 9"
"DF",2016-08-26,"Schimpfluch-Commune Int.","Schmetterlinge"
"DF",2016-07-05,"Autentisk Film","New Day"
"DF",2016-01-10,"Volcano The Bear","Ah Ah Ah AhUm Cha Check Elephant Bingo"
"DF",2016-07-17,"Techie Blood","Track 1"
"DF",2016-01-10,"Ron Morelli","Desert Ocean"
"DF",2017-01-29,"The Dagoes","Kids Got Style"
"DF",2022-06-29,"The Rebel","Mysteries Of Love"
"DF",2017-01-29,"Cube","Safe Word"
"DF",2023-11-24,"Witchfynde","Ready To Roll"
"DF",2021-05-21,"Staubsauger","Frhstck Fernsehen Schlafen"
"DF",2016-09-11,"Measly","Dont Have To Die"
"DF",2020-01-06,"An-I + Unhuman","Hate Thy Neighbor"
"DF",2016-09-11,"Andrew Mclellan","Beyond The Left"
"DF",2025-11-28,"Blood Flower","Durango"
"DF",2025-02-17,"Gem Fumigation Spa","Song Three"
"DF",2016-06-14,"Billy Bao","Debt The Crisis To Come"
"DF",2016-05-30,"Big Balls &The Great White Idiot","Damned Damned Life"
"DF",2016-08-29,"Container","Insulation"
"DF",2018-05-27,"Trash Monkeys","Trash Monkey Universe"
"DF",2016-07-05,"Dr. Universe","Incognitrous"
"DF",2021-05-21,"Scimmia","Kool Aid"
"DF",2019-01-27,"Bren't Lewiis Ensemble","The Heap"
"DF",2022-09-25,"Neon Rock Garden","Dont Say Baboon"
"DF",2016-07-05,"Houseplants","Chance Rolls"
"DF",2017-08-17,"Article 58","Reflection"
"DF",2023-08-07,"Worldbackwards","Time Lag Zero"
"DF",2016-09-11,"Paul H. Williams","Fallen To Earth Part Iii"
"DF",2021-05-21,"Birchville Cat Motel","Cranes Are Sleeping"
"DF",2015-12-30,"Bix Flent","Happy Birthday Behavior"
"DF",2016-08-29,"Mike Rep And The Quotas","Laugh Jackal Laugh"
"DF",2016-08-29,"Rubber Mate","Car Crash"
